"id_timeseries","intercept","slope","r_squared","p_value"
"ALSKABSAI",0.0457363092159917,-0.0502127077248331,0.221763035124092,0.000128033216163982
"ANCHMEDGSA6",0.179296260088609,-0.148964062102934,0.768527038218285,2.95078383532339e-24
"ARFLOUNDPCOAST",0.147833442884368,0.00115512122105208,0.000726888895243402,0.794286404583135
"AUROCKPCOAST",0.0696608789269203,0.0527631301611467,0.40396655125672,2.88328292000121e-11
"BGRDRNSWWA",0.0222969302929496,-0.00626596310455116,0.00533219921948583,0.59276322082368
"BGROCKPCOAST",0.0653659685995316,0.0289624142019526,0.00346407436081712,0.638767329171977
"BIGEYEATL",0.0709416841447497,-0.050985403133943,0.673786024832669,5.41037989325282e-15
"BIGEYECWPAC",0.282370273369693,-0.0207745353922781,0.0105019125013257,0.42035981233937
"BIGHTREDSE",0.606304581095982,0.0206089813341047,0.000570133874149176,0.869264962343823
"BLACKROCKCAL",0.193867386216901,0.0208878619922121,0.277769004608834,3.4600854088851e-08
"BLACKROCKORECOAST",0.867921688237861,-0.889445650050854,0.810867049662113,7.50921199336956e-45
"BLACKROCKWASH",0.207414607767082,0.00201367580375427,0.00630959361698144,0.507161511415895
"BLUEROCKCAL",0.0394619656285227,0.0407937892356683,0.090565820947415,0.00416099653680586
"BMARLINIO",0.142144935484999,0.00587675743561515,0.0141895714045172,0.458208896829167
"BRNROCKPCOAST",0.746937656230549,-0.391332470829771,0.492723042772918,2.28844447001089e-15
"CABEZSCAL",0.115996236106106,0.013321949554583,0.0128672028608998,0.414099647880147
"CALSCORPSCAL",0.0776411870936107,-0.00271875182632727,0.00447808922535609,0.508282717015033
"CHAKESA",0.105994373159509,-0.0768973324182474,0.178823083457898,1.65900946768057e-06
"CHILISPCOAST",0.224354051877014,0.0653455041250297,0.0150528024434989,0.181882218233068
"CHROCKCPCOAST",0.292509772547858,0.00318253963905058,0.0555261546642184,0.0123798599865
"CHROCKNPCOAST",0.322399058218577,-0.00155108892362479,0.00144066340969022,0.691126920116861
"CHROCKSPCOAST",0.161033942672875,-0.125734596686889,0.8027445333151,6.29773672234946e-41
"COBGM",2.36745644651065,-1.65660711170872,0.797542676048912,7.95551133092815e-30
"CODICE",0.360006566529872,-0.0161693405559529,0.0560192690025685,0.0879455619232287
"CODNEAR",-0.437826270345397,0.000655788065189187,0.00014022084197161,0.923068542483265
"COWCODSCAL",0.0372478497273974,0.110054755871621,0.549148159106008,6.37137410446625e-21
"CPRROCKPCOAST",0.486489217353429,-0.226307183635321,0.517173725153351,9.85263918359372e-16
"CROCKPCOAST",0.134246032126555,-0.0307780967867783,0.21794824853093,5.94890400229444e-08
