"id_timeseries","intercept","slope","r_squared","p_value"
"ALSKABSAI",-0.0194144429829238,0.027001970075597,0.253061772538972,3.59724438204036e-05
"ANCHMEDGSA6",-0.118999879089535,0.144998626390022,0.727741947540856,9.62521290980375e-22
"ARFLOUNDPCOAST",0.148906077522988,-0.000215582616108675,0.000343806172084451,0.857694748793143
"AUROCKPCOAST",0.203932897372104,-0.0506459860705002,0.302957164809344,2.76813012987194e-08
"BGRDRNSWWA",0.105923238023205,-0.0397812559969989,0.0950795815500138,0.020772942583092
"BGROCKPCOAST",0.0880504811841448,0.00241306010510915,5.31391731281283e-05,0.953676365511265
"BIGEYEATL",-0.0257218283853087,0.0275697118780306,0.804095289491641,4.04135998312779e-21
"BIGEYECWPAC",0.265233271281919,0.00426762195098529,0.00525108516877436,0.569330218514322
"BIGHTREDSE",0.580989409065784,0.00710262465776134,0.000743403802194154,0.850912531725826
"BLACKROCKCAL",0.238875788497275,-0.0196970804210952,0.492506273990069,1.65467143568734e-15
"BLACKROCKORECOAST",-1.01575979347429,0.74321221032007,0.773662332763923,3.35711570473626e-40
"BLACKROCKWASH",0.211339265177831,-0.0016564866008741,0.00835539465947286,0.445077321449593
"BLUEROCKCAL",0.243436583027242,-0.0967604633962724,0.272924872012489,1.51163061808392e-07
"BMARLINIO",0.152671028289304,-0.00525493807095923,0.0135475182181927,0.468633270827015
"BRNROCKPCOAST",-0.196377217680359,0.409779271214126,0.609289940444963,1.10273965661646e-20
"CABEZSCAL",0.159079237730331,-0.0262235934913904,0.0880109893788032,0.029381247679231
"CALSCORPSCAL",0.0613863661777938,0.00743821396006662,0.136527649182244,0.000154755822421388
"CHAKESA",-0.0231264836445908,0.0393377716140133,0.24963452683534,7.26720022605078e-09
"CHILISPCOAST",0.362374454430597,-0.0601199890176394,0.0248185327011943,0.0857167951116417
"CHROCKCPCOAST",0.299381367334058,-0.00267576159808957,0.037837161853034,0.0398633054454436
"CHROCKNPCOAST",0.321670285293466,0.000181748296265039,1.9935699934538e-05,0.962734297986621
"CHROCKSPCOAST",-0.0821544607136226,0.0907477399704015,0.785433092981735,6.78319311838606e-39
"COBGM",-1.14476172772303,1.14619883939484,0.965659388870087,4.50800200617537e-61
"CODICE",0.338404832664119,-0.00413973439633929,0.00860631629701036,0.508804714040947
"CODNEAR",-0.431498121725768,-0.00470943391456324,0.0636854202500493,0.0364429901198983
